2019-03-26 00:00:06,537 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-03-26 00:00:06,560 [     23]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-183.4284.148, 21 Nov 2018 09:06) 
2019-03-26 00:00:06,560 [     23]   INFO -        #com.intellij.idea.Main - OS: Windows 10 (10.0, amd64) 
2019-03-26 00:00:06,560 [     23]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_152-release-1343-b15 (JetBrains s.r.o) 
2019-03-26 00:00:06,560 [     23]   INFO -        #com.intellij.idea.Main - JVM: 25.152-b15 (OpenJDK 64-Bit Server VM) 
2019-03-26 00:00:06,561 [     24]   INFO -        #com.intellij.idea.Main - JVM Args: -Didea.classpath.index.enabled=false -Didea.config.path=C:\Users\Nikita.Lyubimov\IdeaProjects\IntellijAlice\plugin\build\idea-sandbox\config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=C:\Users\Nikita.Lyubimov\IdeaProjects\IntellijAlice\plugin\build\idea-sandbox\plugins -Didea.required.plugins.id=intellij-voice.plugin -Didea.system.path=C:\Users\Nikita.Lyubimov\IdeaProjects\IntellijAlice\plugin\build\idea-sandbox\system -Xms256m -Xmx512m -Dfile.encoding=windows-1251 -Duser.country=US -Duser.language=en -Duser.variant -ea 
2019-03-26 00:00:06,562 [     25]   INFO -        #com.intellij.idea.Main - ext: C:\Users\Nikita.Lyubimov\.gradle\caches\modules-2\files-2.1\com.jetbrains\jbre\jbrex8u152b1343.15_windows_x64\jre\lib\ext: [access-bridge-64.jar, cldrdata.jar, dnsns.jar, jaccess.jar, jfxrt.jar, localedata.jar, meta-index, nashorn.jar, sunec.jar, sunjce_provider.jar, sunmscapi.jar, sunpkcs11.jar, zipfs.jar] 
2019-03-26 00:00:06,562 [     25]   INFO -        #com.intellij.idea.Main - charsets: JNU=Cp1251 file=windows-1251 
2019-03-26 00:00:06,578 [     41]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 16 ms 
2019-03-26 00:00:06,581 [     44]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2019-03-26 00:00:06,663 [    126]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-03-26 00:00:06,914 [    377]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 2.0 (JRE-managed HiDPI) 
2019-03-26 00:00:07,148 [    611]   INFO - .intellij.idea.IdeaApplication - CPU cores: 8; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@16d590ac[Running, parallelism = 7, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@23cc0c0e 
2019-03-26 00:00:07,602 [   1065]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-groovy.xml 
2019-03-26 00:00:08,019 [   1482]   INFO - llij.ide.plugins.PluginManager - 36 plugins initialized in 683 ms 
2019-03-26 00:00:08,019 [   1482]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android Support (10.3.1.2), Ant Support (1.0), Bytecode Viewer (0.1), CVS Integration (11), Copyright (8.1), Coverage (183.4284.148), Eclipse Integration (3.0), EditorConfig (183.4284.148), Git Integration (8.1), GitHub (183.4284.148), Gradle (183.4284.148), Groovy (9.0), I18n for Java (183.4284.148), IDEA CORE (183.4284.148), IntelliJ Configuration Script (183.4284.148), IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (183.4284.148), Java Stream Debugger (183.4284.148), JavaFX (1.0), Kotlin (1.3.0-release-IJ2018.3-1), Maven Integration (183.4284.148), Mercurial Integration (10.0), Plugin DevKit (1.0), Properties Support (183.4284.148), Settings Repository (183.4284.148), Smali Support (1.0), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), TestNG-J (8.0), UI Designer (183.4284.148), XPathView + XSLT Support (4), XSLT-Debugger (1.4), YAML (183.4284.148) 
2019-03-26 00:00:08,019 [   1482]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Alice voice plugin (0.0.1) 
2019-03-26 00:00:09,164 [   2627]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: 'C:\Users\Nikita.Lyubimov\IdeaProjects\IntellijAlice\plugin\build\idea-sandbox\system\caches\names.dat' does not exist 
2019-03-26 00:00:09,166 [   2629]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=435; buffer=10; max=435 
2019-03-26 00:00:09,205 [   2668]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: C:\Users\Nikita.Lyubimov\.gradle\caches\modules-2\files-2.1\com.jetbrains.intellij.idea\ideaIC\2018.3\70e72bdc97f330ebe4f06ad307d8928ea903cf87\ideaIC-2018.3\bin\win\fsnotifier64.exe 
2019-03-26 00:00:09,217 [   2680]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-03-26 00:00:09,591 [   3054]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-03-26 00:00:09,592 [   3055]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-03-26 00:00:09,893 [   3356]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-03-26 00:00:09,905 [   3368]   INFO - j.ide.ui.OptionsTopHitProvider - 106 ms spent to cache options in application 
2019-03-26 00:00:09,905 [   3368]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 106 ms 
2019-03-26 00:00:09,911 [   3374]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63343 
2019-03-26 00:00:09,979 [   3442]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-03-26 00:00:10,100 [   3563]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:84, number of extensions:49 
2019-03-26 00:00:10,108 [   3571]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:7 
2019-03-26 00:00:10,160 [   3623]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:50, number of extensions:50 
2019-03-26 00:00:10,160 [   3623]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-03-26 00:00:10,794 [   4257]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:kotlin_builtins,CLASS,JAVA,XML,DGM File Type,Groovy,Kotlin,Properties,KJSM,HTML,KNM 
2019-03-26 00:00:10,951 [   4414]   INFO - plication.impl.ApplicationImpl - 85 application components initialized in 3618ms 
2019-03-26 00:00:10,957 [   4420]   INFO - .intellij.idea.IdeaApplication - App initialization took 4912 ms 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.kotlin loaded 901 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - org.intellij.groovy loaded 368 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.android loaded 172 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.idea.maven loaded 52 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - CVS loaded 40 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - com.intellij.properties loaded 33 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.settingsRepository loaded 31 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - XPathView loaded 20 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - Git4Idea loaded 19 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - org.editorconfig.editorconfigjetbrains loaded 17 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - com.intellij.tasks loaded 16 classes 
2019-03-26 00:00:10,958 [   4421]   INFO - llij.ide.plugins.PluginManager - org.jetbrains.plugins.yaml loaded 15 classes 
